Unnamed: 0,food_code,food_name,food_group_nin,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,allergies,region,Serving_Size_g,food_type,protein_calorie_ratio,nutrient_score,health_score,diversity_score,energy_category
0,1,Palak Paneer,Vegetarian,175,11.66666667,10.5,12.83333333,2.333333333,3.5,29.16666667,Milk,North India,100,lunch,0.06,1.166666667,26.5,4,Low
1,2,Chole Bhature,Vegetarian,355,53.25,11.83333333,17.75,5.916666667,7.1,0,Gluten,North India,100,lunch,0.03333333333,1.183333333,44.5,7,Medium
2,3,Butter Chicken,Non-Vegetarian,320,9.142857143,22.85714286,18.28571429,2.742857143,1.828571429,64,Milk,North India,100,lunch,0.07142857143,0.9142857143,64.5,2,Medium
3,4,Dal Tadka,Vegetarian,233,40.775,13.98,5.825,1.165,5.825,0,,Pan-India,100,lunch,0.06,1.165,56.5,5,Low
4,5,Masala Dosa,Vegetarian,335.9999999,47.99999998,6.719999998,11.52,0.9599999997,2.879999999,0,Gluten,South India,100,breakfast,0.02,0.96,32.5,4,Medium
5,6,Chicken Biryani,Non-Vegetarian,455,55.61111111,25.27777778,15.16666667,5.055555556,2.022222222,91,,Pan-India,100,lunch,0.05555555556,1.011111111,51.5,2,High
6,7,Samosa,Vegetarian,229.9999999,27.59999999,4.599999999,9.199999998,3.679999999,4.599999999,0,Gluten,Pan-India,100,snacks,0.02,0.92,24,1,Medium
7,8,Paneer Tikka,Vegetarian,182,8.088888889,15.16666667,10.11111111,2.022222222,1.011111111,30.33333333,Milk,Pan-India,100,lunch,0.08333333333,1.011111111,44,5,Low
8,9,Aloo Gobi,Vegetarian,154,20.53333333,5.133333333,6.16,1.026666667,5.133333333,0,,Pan-India,100,dinner,0.03333333333,1.026666667,28.5,3,Low
9,10,Mutton Rogan Josh,Non-Vegetarian,385,9.625,27.43125,24.0625,3.85,0.9625,96.25,,Pan-India,100,dinner,0.07125,0.9475,60,1,Medium
10,11,Idli,Vegetarian,176,35.2,5.866666666,4.693333333,0,4.693333333,0,Gluten,South India,100,breakfast,0.03333333333,1.173333333,28,2,Low
11,12,Upma,Vegetarian,256,51.2,7.68,10.24,1.28,3.84,0,Gluten,Pan-India,100,breakfast,0.03,1.28,28.5,2,Low
12,13,Chicken Korma,Non-Vegetarian,327.9999999,11.24571428,23.42857142,18.74285714,3.748571428,0.9371428569,70.28571427,Milk,Pan-India,100,lunch,0.07142857143,0.9371428571,58.5,2,Medium
13,14,Chana Masala,Vegetarian,263,42.08,10.52,7.364,3.156,6.312,0,,Pan-India,100,dinner,0.04,1.052,47.5,8,Medium
14,15,Vegetable Biryani,Vegetarian,342,62.7,9.12,11.4,4.56,2.28,0,,Pan-India,100,lunch,0.02666666667,1.14,30,3,Medium
15,16,Methi Thepla,Vegetarian,225,30.68181818,6.136363636,9.204545454,2.045454545,4.090909091,0,Gluten,Pan-India,100,dinner,0.02727272727,1.022727273,29,9,Medium
16,17,Chicken Tikka,Non-Vegetarian,230,5,28.5,10,2,0,80,,Pan-India,100,lunch,0.1239130435,0.9739130435,71,2,Medium
